symbol,price,type,earnings_date,mkt_cap,name
COP,115.04,earnings,2026-08-06,0,ConocoPhillips
PBR,18.36,earnings,2026-08-06,0,Petróleo Brasileiro S.A. - Petrobras
PH,996.9,earnings,2026-08-06,0,Parker-Hannifin Corporation
CEG,265.12,earnings,2026-08-06,0,Constellation Energy Corporation
HWM,291.42,earnings,2026-08-06,0,Howmet Aerospace Inc.
ABNB,152.49,earnings,2026-08-06,0,"Airbnb, Inc."
MNST,94.46,earnings,2026-08-06,0,Monster Beverage Corporation
NET,292.96,earnings,2026-08-06,0,"Cloudflare, Inc."
WBD,25.97,earnings,2026-08-06,0,"Warner Bros. Discovery, Inc."
RSG,207.02,earnings,2026-08-06,0,"Republic Services, Inc."
SRE,84.66,earnings,2026-08-06,0,Sempra
WPM,122.82,earnings,2026-08-06,0,Wheaton Precious Metals Corp.
AFL,125.56,earnings,2026-08-06,0,Aflac Incorporated
LNG,254.76,earnings,2026-08-06,0,"Cheniere Energy, Inc."
TRGP,260.11,earnings,2026-08-06,0,Targa Resources Corp.
VST,140.58,earnings,2026-08-07,0,Vistra Corp.
ZTS,74.39,earnings,2026-08-06,0,Zoetis Inc.
MCHP,77.79,earnings,2026-08-06,0,Microchip Technology Incorporated
BDX,170.66,earnings,2026-08-06,0,"Becton, Dickinson and Company"
RKT,13.86,earnings,2026-08-06,0,"Rocket Companies, Inc."
ED,108.32,earnings,2026-08-06,0,"Consolidated Edison, Inc."
AIG,80.12,earnings,2026-08-06,0,"American International Group, Inc."
TTWO,234.91,earnings,2026-08-07,0,"Take-Two Interactive Software, Inc."
KDP,30.75,earnings,2026-08-06,0,Keurig Dr Pepper Inc.
SLF,81.87,earnings,2026-08-06,0,Sun Life Financial Inc.
QSR,74.49,earnings,2026-08-06,0,Restaurant Brands International Inc.
IX,41.31,earnings,2026-08-06,0,ORIX Corporation
KVUE,19.67,earnings,2026-08-06,0,Kenvue Inc.
FISV,54.11,earnings,2026-08-06,0,"Fiserv, Inc."
CQP,64.13,earnings,2026-08-06,0,"Cheniere Energy Partners, L.P."
RMD,224.03,earnings,2026-08-06,0,ResMed Inc.
AMRZ,52.88,earnings,2026-08-06,0,AMRZ
INSM,99.02,earnings,2026-08-06,0,Insmed Incorporated
NTRA,274.62,earnings,2026-08-06,0,"Natera, Inc."
PPL,34.95,earnings,2026-08-07,0,PPL Corporation
TWLO,193.22,earnings,2026-08-06,0,Twilio Inc.
RL,380.78,earnings,2026-08-06,0,Ralph Lauren Corporation
FWONK,96.05,earnings,2026-08-06,0,Formula One Group
FWONA,88.31,earnings,2026-08-06,0,Formula One Group
ATI,205.11,earnings,2026-08-06,0,ATI Inc.
MTSI,263.46,earnings,2026-08-06,0,"MACOM Technology Solutions Holdings, Inc."
TEAM,113.32,earnings,2026-08-06,0,Atlassian Corporation
ROKU,146.96,earnings,2026-08-06,0,"Roku, Inc."
EMA,51.58,earnings,2026-08-07,0,Emera Incorporated
PAA,23.17,earnings,2026-08-07,0,"Plains All American Pipeline, L.P."
GMAB,29.26,earnings,2026-08-06,0,Genmab A/S
AKAM,122.27,earnings,2026-08-06,0,"Akamai Technologies, Inc."
ONTO,276.0,earnings,2026-08-06,0,Onto Innovation Inc.
RGA,236.38,earnings,2026-08-06,0,"Reinsurance Group of America, Incorporated"
MP,47.91,earnings,2026-08-06,0,MP Materials Corp.
GEN,27.95,earnings,2026-08-06,0,Gen Digital Inc.
DKNG,21.76,earnings,2026-08-06,0,DraftKings Inc.
TTD,18.96,earnings,2026-08-06,0,"The Trade Desk, Inc."
TXRH,208.5,earnings,2026-08-06,0,"Texas Roadhouse, Inc."
GSAT,83.45,earnings,2026-08-06,0,"Globalstar, Inc."
BMRN,59.91,earnings,2026-08-06,0,BioMarin Pharmaceutical Inc.
CART,45.35,earnings,2026-08-06,0,Maplebear Inc.
IAG,15.89,earnings,2026-08-06,0,IAMGOLD Corporation
AHR,55.5,earnings,2026-08-06,0,"American Healthcare REIT, Inc."
SARO,31.01,earnings,2026-08-06,0,"StandardAero, Inc."
KGS,57.85,earnings,2026-08-06,0,"Kodiak Gas Services, Inc."
G,35.27,earnings,2026-08-06,0,Genpact Limited
CENX,46.9,earnings,2026-08-06,0,Century Aluminum Company
COGT,42.27,earnings,2026-08-06,0,"Cogent Biosciences, Inc."
DBX,35.0,earnings,2026-08-06,0,"Dropbox, Inc."
RGTI,16.78,earnings,2026-08-06,0,"Rigetti Computing, Inc."
ESNT,66.51,earnings,2026-08-07,0,Essent Group Ltd.
