symbol,price,sector,type,name,rsi,fvg,fvg_has_volume,vwap_status,golden_cross,sma20_daily,sma50_daily,sma100_daily,timestamp,high_volume,is_signal,high_conviction,upcoming_events,sector_analysis
AMD,456.43,Technology,technical,"Advanced Micro Devices, Inc.",34.48682622732498,,False,Bearish (Below),True,476.93400115966796,375.1328009033203,294.2088003540039,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.5712372517910134), 'spy_ret': np.float64(-1.0810345102722008), 'outperforming': np.True_}"
AAPL,290.635,Technology,technical,Apple Inc.,11.488367108439263,,False,Bullish (Above),True,304.34950103759763,283.786926574707,271.76421279907225,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.5712372517910134), 'spy_ret': np.float64(-1.0731795969701863), 'outperforming': np.True_}"
CSCO,119.4691,Technology,technical,"Cisco Systems, Inc.",24.36643352256688,,False,Bearish (Below),True,119.5669548034668,100.22961853027344,89.39188041687012,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.5924706584019535), 'spy_ret': np.float64(-1.0731795969701863), 'outperforming': np.True_}"
CAT,861.24,Industrials,technical,Caterpillar Inc.,32.4590608398901,,False,Bearish (Below),True,893.6584991455078,847.5493310546875,776.3755804443359,2026-06-10 20:11,False,True,False,[],"{'name': 'Industrials', 'etf': 'XLI', 'uptrend': np.False_, 'etf_ret': np.float64(-1.8927461635983682), 'spy_ret': np.float64(-1.0634229678161051), 'outperforming': np.False_}"
ARM,310.025,Technology,technical,Arm Holdings plc,26.652396238005835,,False,Bearish (Below),True,310.6067497253418,234.7182000732422,178.71390029907226,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.6152978769119104), 'spy_ret': np.float64(-1.0634229678161051), 'outperforming': np.True_}"
MRK,117.69,Healthcare,technical,"Merck & Co., Inc.",33.95671633874571,,False,Bearish (Below),True,116.91399955749512,116.1799998474121,116.05375106811523,2026-06-10 20:11,False,True,False,[],"{'name': 'Healthcare', 'etf': 'XLV', 'uptrend': np.True_, 'etf_ret': np.float64(5.461087421715667), 'spy_ret': np.float64(-1.0731795969701863), 'outperforming': np.True_}"
MS,207.195,Financial Services,technical,Morgan Stanley,26.799203174312893,,False,Bearish (Below),True,203.68124923706054,191.63708282470702,180.70095016479493,2026-06-10 20:11,False,True,False,[],"{'name': 'Financial Services', 'etf': 'XLF', 'uptrend': np.True_, 'etf_ret': np.float64(1.6963938909230325), 'spy_ret': np.float64(-1.0634229678161051), 'outperforming': np.True_}"
QCOM,193.26,Technology,technical,QUALCOMM Incorporated,23.349438108651057,,False,Bearish (Below),True,221.3509651184082,180.31262939453126,160.02560150146485,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.5712372517910134), 'spy_ret': np.float64(-1.0810345102722008), 'outperforming': np.True_}"
GS,1006.67,Financial Services,technical,"The Goldman Sachs Group, Inc.",19.372203822921065,,False,Bearish (Below),True,1002.8763488769531,945.4311889648437,910.8155401611328,2026-06-10 20:11,False,True,False,[],"{'name': 'Financial Services', 'etf': 'XLF', 'uptrend': np.True_, 'etf_ret': np.float64(1.6963938909230325), 'spy_ret': np.float64(-1.0613972270171645), 'outperforming': np.True_}"
APP,507.21,Communication Services,technical,AppLovin Corporation,20.54849982522768,,False,Bearish (Below),True,532.5920059204102,480.7130029296875,468.03580200195313,2026-06-10 20:11,False,True,False,[],"{'name': 'Communication Services', 'etf': 'XLC', 'uptrend': np.False_, 'etf_ret': np.float64(-3.4783348507395164), 'spy_ret': np.float64(-1.0498794436174737), 'outperforming': np.False_}"
MRVL,257.29,Technology,technical,"Marvell Technology, Inc.",26.703776494526323,,False,Bearish (Below),True,223.90100021362304,175.99093383789062,129.7480669403076,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.6267158408442082), 'spy_ret': np.float64(-1.0498794436174737), 'outperforming': np.True_}"
WDC,489.33,Technology,technical,Western Digital Corporation,30.304488001571855,,False,Bearish (Below),True,512.5105346679687,438.5211309814453,355.2581315612793,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.6267158408442082), 'spy_ret': np.float64(-1.0498794436174737), 'outperforming': np.True_}"
STX,814.72,Technology,technical,Seagate Technology Holdings plc,25.51986691839558,,False,Bearish (Below),True,842.1244934082031,694.2969970703125,544.8925238037109,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.6267158408442082), 'spy_ret': np.float64(-1.0498794436174737), 'outperforming': np.True_}"
VRTX,438.7,Healthcare,technical,Vertex Pharmaceuticals Incorporated,34.35002115357496,,False,Bearish (Below),False,439.3149978637695,436.88960021972656,452.5113995361328,2026-06-10 20:11,False,True,False,[],"{'name': 'Healthcare', 'etf': 'XLV', 'uptrend': np.True_, 'etf_ret': np.float64(5.464518949040355), 'spy_ret': np.float64(-1.0810345102722008), 'outperforming': np.True_}"
UPS,104.12,Industrials,technical,"United Parcel Service, Inc.",23.96546046268486,,False,Bearish (Below),False,103.31432037353515,101.81625091552735,103.55513526916504,2026-06-10 20:11,False,True,False,[],"{'name': 'Industrials', 'etf': 'XLI', 'uptrend': np.False_, 'etf_ret': np.float64(-1.8984873538906453), 'spy_ret': np.float64(-1.0498794436174737), 'outperforming': np.False_}"
NOW,108.315,Technology,technical,"ServiceNow, Inc.",30.509153539768676,,False,Bullish (Above),False,108.03800086975097,99.48420043945312,106.16680023193359,2026-06-10 20:11,False,True,False,[],"{'name': 'Technology', 'etf': 'XLK', 'uptrend': np.True_, 'etf_ret': np.float64(1.5525121393162302), 'spy_ret': np.float64(-1.0864419979559035), 'outperforming': np.True_}"
